
电视,#genre#
CDTV2,http://125.70.163.227:8888/udp/239.93.0.17:1239

CDTV3,http://125.70.163.227:8888/udp/239.93.0.18:1238

CDTV4,http://125.70.163.227:8888/udp/239.93.0.19:1250

CDTV5,http://125.70.163.227:8888/udp/239.93.1.231:5140

CDTV6,http://125.70.163.227:8888/udp/239.93.0.21:1251

CDTV8,http://125.70.163.227:8888/udp/239.93.0.22:1252

成都体育,http://125.70.163.227:8888udp/239.93.0.224:1281

上海纪实,http://125.70.163.227:8888/udp/239.93.1.137:5140

金鹰纪实,http://125.70.163.227:8888/udp/239.93.0.130:5140

交通四川,http://125.70.163.227:8888/udp/239.93.0.142:5140

CETV-1,http://125.70.163.227:8888/udp/239.93.1.111:5140

熊猫新闻,http://125.70.163.227:8888/udp/239.93.1.112:5140

熊猫体娱,http://125.70.163.227:8888/udp/239.93.0.94:5140

熊猫少儿,http://125.70.163.227:8888/udp/239.93.1.189:5140

熊猫影院,http://125.70.163.227:8888/udp/239.93.0.214:5140

睛彩四川,http://125.70.163.227:8888/udp/239.93.0.126:5140

成都大运,http://125.70.163.227:8888/udp/239.93.0.224:1281

熊猫频道,http://125.70.163.227:8888/udp/239.93.0.211:9148

金熊猫卡通,http://125.70.163.227:8888/udp/239.93.1.172:5140

炫动卡通,http://125.70.163.227:8888/udp/239.93.0.173:5140

嘉佳卡通,http://125.70.163.227:8888/udp/239.93.0.246:5140

收视导视,http://125.70.163.227:8888/udp/239.93.1.39:5140

熊猫爱生活,http://125.70.163.227:8888/udp/239.93.1.190:5140

大爱四川 ,http://125.70.163.227:8888/udp/239.93.1.110:5140

大爱旅游,http://125.70.163.227:8888/udp/239.93.42.70:5140

大爱生活,http://125.70.163.227:8888/udp/239.93.42.71:5140

大爱时尚,http://125.70.163.227:8888/udp/239.93.42.72:5140

斗牛财经,http://125.70.163.227:8888/udp/239.93.42.62:5140

HD看电影,http://125.70.163.227:8888/udp/239.93.42.47:5140

家政频道,http://125.70.163.227:8888/udp/239.93.42.48:5140

CETV-4,http://125.70.163.227:8888/udp/239.93.0.50:5140

经典电影,http://125.70.163.227:8888/udp/239.93.0.57:9024

华语影院,http://125.70.163.227:8888/udp/239.93.0.138:5140

星光院线,http://125.70.163.227:8888/udp/239.93.0.139:5140

全球大片,http://125.70.163.227:8888/udp/239.93.0.105:5140

热播剧场,http://125.70.163.227:8888/udp/239.93.0.56:9020

热门剧场,http://125.70.163.227:8888/udp/239.93.0.140:5140

港剧风云,http://125.70.163.227:8888/udp/239.93.0.143:5140

谍战剧场,http://125.70.163.227:8888/udp/239.93.0.95:5140

卡酷动画,http://125.70.163.227:8888/udp/239.93.0.208:5140

金鹰卡通,http://125.70.163.227:8888/udp/239.93.0.108:5140

优漫卡通,http://125.70.163.227:8888/udp/239.93.0.251:5140

宝宝动画,http://125.70.163.227:8888/udp/239.93.0.147:5140

少儿动画,http://125.70.163.227:8888/udp/239.93.0.193:9000

青春动漫,http://125.70.163.227:8888/udp/239.93.0.146:5140

热门综艺,http://125.70.163.227:8888/udp/239.93.0.151:5140

音乐现场,http://125.70.163.227:8888/udp/239.93.0.198:9044

戏曲精选,http://125.70.163.227:8888/udp/239.93.0.144:5140

戏曲,http://125.70.163.227:8888/udp/239.93.0.217:9208

魅力时尚,http://125.70.163.227:8888/udp/239.93.0.190:9012

生活时尚,http://125.70.163.227:8888/udp/239.93.0.106:5140

大爱旅游,http://125.70.163.227:8888/udp/239.93.1.234:5140

大爱生活,http://125.70.163.227:8888/udp/239.93.1.235:5140

大爱时尚,http://125.70.163.227:8888/udp/239.93.1.157:4120

爱生活,http://125.70.163.227:8888/udp/239.93.0.206:8028

财富天下,http://125.70.163.227:8888/udp/239.93.0.116:9136

东方财经,http://125.70.163.227:8888/udp/239.93.0.249:5140

股评汇,http://125.70.163.227:8888/udp/239.93.0.141:5140

爱体育,http://125.70.163.227:8888/udp/239.93.0.135:9008

电竞天堂,http://125.70.163.227:8888/udp/239.93.1.135:5140

游戏风云,http://125.70.163.227:8888/udp/239.93.0.136:5140

汽车频道,http://125.70.163.227:8888/udp/239.93.0.117:1292

足球,http://125.70.163.227:8888/udp/239.93.0.197:9040

高网,http://125.70.163.227:8888/udp/239.93.0.202:9068

台球,http://125.70.163.227:8888/udp/239.93.0.203:9072

纪实人文,http://125.70.163.227:8888/udp/239.93.1.154:5140

墨宝,http://125.70.163.227:8888/udp/239.93.0.215:9132

军事,http://125.70.163.227:8888/udp/239.93.0.204:9076

解密,http://125.70.163.227:8888/udp/239.93.0.199:9048

地理,http://125.70.163.227:8888/udp/239.93.0.200:9052

传奇,http://125.70.163.227:8888/udp/239.93.0.235:1282

收视指南,http://125.70.163.227:8888/udp/239.93.0.195:8012

资讯新干线,http://125.70.163.227:8888/udp/239.93.0.236:1283

蓉城先锋,http://125.70.163.227:8888/udp/239.93.0.91:2101

星空精选,http://125.70.163.227:8888/udp/239.93.1.171:5140

CGTN西班牙语,http://125.70.163.227:8888/udp/239.93.42.49:5140

CGTN法语,http://125.70.163.227:8888/udp/239.93.42.50:5140

每日影院,http://125.70.163.227:8888/udp/239.93.42.35:5140

爱怀旧,http://125.70.163.227:8888/udp/239.93.42.21:5140

爱喜剧,http://125.70.163.227:8888/udp/239.93.42.9:5140

爱奇谈,http://125.70.163.227:8888/udp/239.93.42.22:5140

爱科幻,http://125.70.163.227:8888/udp/239.93.42.10:5140

爱院线,http://125.70.163.227:8888/udp/239.93.42.11:5140

幸福剧场,http://125.70.163.227:8888/udp/239.93.42.30:5140

爱谍战,http://125.70.163.227:8888/udp/239.93.42.14:5140

爱经典,http://125.70.163.227:8888/udp/239.93.42.13:5140

爱悬疑,http://125.70.163.227:8888/udp/239.93.42.12:5140

爱青春,http://125.70.163.227:8888/udp/239.93.42.16:5140

爱都市,http://125.70.163.227:8888/udp/239.93.42.15:5140

少儿天地,http://125.70.163.227:8888/udp/239.93.42.34:5140

爱幼教,http://125.70.163.227:8888/udp/239.93.42.17:5140

爱玩具,http://125.70.163.227:8888/udp/239.93.42.18:5140

爱动漫,http://125.70.163.227:8888/udp/239.93.42.23:5140

求索频道,http://125.70.163.227:8888/udp/239.93.42.24:5140

爱电竞,http://125.70.163.227:8888/udp/239.93.42.19:5140

爱赛车,http://125.70.163.227:8888/udp/239.93.42.20:5140

爱宠宠物,http://125.70.163.227:8888/udp/239.93.42.32:5140

风尚生活,http://125.70.163.227:8888/udp/239.93.42.29:5140

幸福娱乐,http://125.70.163.227:8888/udp/239.93.42.31:5140

来钓鱼吧,http://125.70.163.227:8888/udp/239.93.42.8:5140

麻辣体育,http://125.70.163.227:8888/udp/239.93.42.2:5140

绚影4K,http://125.70.163.227:8888/udp/239.93.42.33:5140

熊猫频道,#genre#
熊猫 频道,http://125.70.163.227:8888/udp/239.93.0.211:9148
都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8
都江堰妃妃,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
都江堰娅祥,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
都江堰瑞瑞,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
都江堰英英,http://gcalic.v.myalicdn.com/gc/xiongmao16_1/index.m3u8
都江堰壹壹玖玖,http://gcalic.v.myalicdn.com/gc/xiongmao14_1/index.m3u8
都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
怡然2,http://gcalic.v.myalicdn.com/gc/xiongmao18_1/index.m3u8
基地幼年园1,http://gcalic.v.myalicdn.com/gc/xiongmao03_1/index.m3u8
基地幼年园2,http://gcalic.v.myalicdn.com/gc/xiongmao04_1/index.m3u8
基地母子园1,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
基地母子园2,http://gcalic.v.myalicdn.com/gc/xiongmao08_1/index.m3u8
基地幼儿园1,http://gcalic.v.myalicdn.com/gc/xiongmao05_1/index.m3u8
基地幼儿园2,http://gcalic.v.myalicdn.com/gc/xiongmao06_1/index.m3u8
基地成年园1,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
基地成年园2,http://gcalic.v.myalicdn.com/gc/xiongmao02_1/index.m3u8
基地别墅1,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
基地别墅2,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8
熊猫频道1,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
熊猫频道2,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao02_2/index.m3u8
熊猫频道3,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8
熊猫频道4,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao04_2/index.m3u8
熊猫频道5,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao05_2/index.m3u8
熊猫频道6,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao06_2/index.m3u8
熊猫频道7,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao07_2/index.m3u8
熊猫频道8,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao08_2/index.m3u8
熊猫频道9,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao09_2/index.m3u8
熊猫频道10,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao10_2/index.m3u8
大丰麋鹿,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8
白马雪山,http://gcalic.v.myalicdn.com/gc/xiongmao24_1/index.m3u8
成都高清,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
都江堰高清,http://gcalic.v.myalicdn.com/gc/ipanda1000_1td/index.m3u8
